"","Alpha.2.code","Alpha.3.code","Numeric.code","Latitude..average.","Longitude..average."
"1"," AF"," AFG",4,33,65
"2"," AL"," ALB",8,41,20
"3"," DZ"," DZA",12,28,3
"4"," AS"," ASM",16,-14.3333,-170
"5"," AD"," AND",20,42.5,1.6
"6"," AO"," AGO",24,-12.5,18.5
"7"," AI"," AIA",660,18.25,-63.1667
"8"," AQ"," ATA",10,-90,0
"9"," AG"," ATG",28,17.05,-61.8
"10"," AR"," ARG",32,-34,-64
"11"," AM"," ARM",51,40,45
"12"," AW"," ABW",533,12.5,-69.9667
"13"," AU"," AUS",36,-27,133
"14"," AT"," AUT",40,47.3333,13.3333
"15"," AZ"," AZE",31,40.5,47.5
"16"," BS"," BHS",44,24.25,-76
"17"," BH"," BHR",48,26,50.55
"18"," BD"," BGD",50,24,90
"19"," BB"," BRB",52,13.1667,-59.5333
"20"," BY"," BLR",112,53,28
"21"," BE"," BEL",56,50.8333,4
"22"," BZ"," BLZ",84,17.25,-88.75
"23"," BJ"," BEN",204,9.5,2.25
"24"," BM"," BMU",60,32.3333,-64.75
"25"," BT"," BTN",64,27.5,90.5
"26"," BO"," BOL",68,-17,-65
"27"," BO"," BOL",68,-17,-65
"28"," BA"," BIH",70,44,18
"29"," BW"," BWA",72,-22,24
"30"," BV"," BVT",74,-54.4333,3.4
"31"," BR"," BRA",76,-10,-55
"32"," IO"," IOT",86,-6,71.5
"33"," BN"," BRN",96,4.5,114.6667
"34"," BN"," BRN",96,4.5,114.6667
"35"," BG"," BGR",100,43,25
"36"," BF"," BFA",854,13,-2
"37"," BI"," BDI",108,-3.5,30
"38"," KH"," KHM",116,13,105
"39"," CM"," CMR",120,6,12
"40"," CA"," CAN",124,60,-95
"41"," CV"," CPV",132,16,-24
"42"," KY"," CYM",136,19.5,-80.5
"43"," CF"," CAF",140,7,21
"44"," TD"," TCD",148,15,19
"45"," CL"," CHL",152,-30,-71
"46"," CN"," CHN",156,35,105
"47"," CX"," CXR",162,-10.5,105.6667
"48"," CC"," CCK",166,-12.5,96.8333
"49"," CO"," COL",170,4,-72
"50"," KM"," COM",174,-12.1667,44.25
"51"," CG"," COG",178,-1,15
"52"," CD"," COD",180,0,25
"53"," CK"," COK",184,-21.2333,-159.7667
"54"," CR"," CRI",188,10,-84
"55"," CI"," CIV",384,8,-5
"56"," CI"," CIV",384,8,-5
"57"," HR"," HRV",191,45.1667,15.5
"58"," CU"," CUB",192,21.5,-80
"59"," CY"," CYP",196,35,33
"60"," CZ"," CZE",203,49.75,15.5
"61"," DK"," DNK",208,56,10
"62"," DJ"," DJI",262,11.5,43
"63"," DM"," DMA",212,15.4167,-61.3333
"64"," DO"," DOM",214,19,-70.6667
"65"," EC"," ECU",218,-2,-77.5
